index,time,name,id,type,format,len,data
00000182,000.000.260,接收,406,DATA,STANDARD,8,D902000000001400
00000183,000.000.256,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000184,000.000.281,接收,408,DATA,STANDARD,8,0502000000009B01
00000185,000.000.247,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000186,000.000.270,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000187,000.000.258,接收,501,DATA,STANDARD,8,0000000000000000
00000188,000.002.178,接收,231,DATA,STANDARD,6,0201031F0E00
00000189,000.001.875,接收,232,DATA,STANDARD,6,020103230C00
00000190,000.001.659,接收,31F,DATA,STANDARD,8,000005020402FF80
00000191,000.000.239,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000192,000.002.230,接收,201,DATA,STANDARD,8,000000000A030000
00000193,000.039.232,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000194,000.000.233,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000195,000.000.261,接收,403,DATA,STANDARD,8,00009B000A030000
00000196,000.000.257,接收,404,DATA,STANDARD,8,0703050303030503
00000197,000.000.259,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000198,000.000.256,接收,406,DATA,STANDARD,8,D902000000001400
00000199,000.000.281,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000200,000.000.251,接收,408,DATA,STANDARD,8,0502000000009B01
00000201,000.000.264,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000202,000.000.254,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000203,000.000.261,接收,501,DATA,STANDARD,8,0000000000000000
00000204,000.002.156,接收,231,DATA,STANDARD,6,0201031F0E00
00000205,000.001.922,接收,232,DATA,STANDARD,6,020103230C00
00000206,000.001.641,接收,31F,DATA,STANDARD,8,000005020402FF80
00000207,000.000.234,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000208,000.004.782,接收,201,DATA,STANDARD,8,000000000A030000
00000209,000.036.673,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000210,000.000.266,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000211,000.000.246,接收,403,DATA,STANDARD,8,00009B000A030000
00000212,000.000.269,接收,404,DATA,STANDARD,8,0703050303030503
00000213,000.000.247,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000214,000.639.295,接收,406,DATA,STANDARD,8,D902000000001400
00000215,000.000.000,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000216,000.000.000,接收,408,DATA,STANDARD,8,0502000000009B01
00000217,000.000.000,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000218,000.000.000,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000219,000.000.000,接收,501,DATA,STANDARD,8,0000000000000000
00000220,000.002.129,接收,231,DATA,STANDARD,6,0201031F0E00
00000221,000.001.921,接收,232,DATA,STANDARD,6,020103230C00
00000222,000.001.668,接收,31F,DATA,STANDARD,8,000005020402FF80
00000223,000.000.235,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000224,000.003.609,接收,201,DATA,STANDARD,8,000000000A030000
00000225,000.087.843,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000226,000.000.235,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000227,000.000.299,接收,403,DATA,STANDARD,8,00009B000A030000
00000228,000.000.219,接收,404,DATA,STANDARD,8,0703050303030503
00000229,000.000.280,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000230,000.000.236,接收,406,DATA,STANDARD,8,D902000000001400
00000231,000.000.279,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000232,000.000.254,接收,408,DATA,STANDARD,8,0502000000009B01
00000233,000.000.261,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000234,000.000.262,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000235,000.000.266,接收,501,DATA,STANDARD,8,0000000000000000
00000236,000.002.144,接收,231,DATA,STANDARD,6,0201031F0E00
00000237,000.001.922,接收,232,DATA,STANDARD,6,020103230C00
00000238,000.001.640,接收,31F,DATA,STANDARD,8,000005020402FF80
00000239,000.000.237,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000240,000.004.592,接收,201,DATA,STANDARD,8,000000000A030000
00000241,000.036.866,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000242,000.000.276,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000243,000.000.237,接收,403,DATA,STANDARD,8,00009B000A030000
00000244,000.000.261,接收,404,DATA,STANDARD,8,0703050303030503
00000245,000.000.255,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000246,000.000.261,接收,406,DATA,STANDARD,8,D902000000001400
00000247,000.000.282,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000248,000.000.233,接收,408,DATA,STANDARD,8,0502000000009B01
00000249,000.000.282,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000250,000.000.249,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000251,000.000.266,接收,501,DATA,STANDARD,8,0000000000000000
00000252,000.002.156,接收,231,DATA,STANDARD,6,0201032B0E00
00000253,000.001.898,接收,232,DATA,STANDARD,6,020103230C00
00000254,000.001.666,接收,31F,DATA,STANDARD,8,000005020402FF80
00000255,000.000.233,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000256,000.003.398,接收,201,DATA,STANDARD,8,000000000A030000
00000257,000.038.086,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000258,000.000.237,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000259,000.000.280,接收,403,DATA,STANDARD,8,00009B000A030000
00000260,000.000.236,接收,404,DATA,STANDARD,8,0703050303030603
00000261,000.000.280,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000262,000.000.236,接收,406,DATA,STANDARD,8,D802000000001400
00000263,000.000.279,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000264,000.000.254,接收,408,DATA,STANDARD,8,0502000000009B01
00000265,000.000.261,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000266,000.000.261,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000267,000.000.257,接收,501,DATA,STANDARD,8,0000000000000000
00000268,000.002.167,接收,231,DATA,STANDARD,6,0201032B0E00
00000269,000.001.912,接收,232,DATA,STANDARD,6,020103230C00
00000270,000.001.637,接收,31F,DATA,STANDARD,8,000005020402FF80
00000271,000.000.236,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000272,000.002.202,接收,201,DATA,STANDARD,8,000000000A030000
00000273,000.039.235,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000274,000.000.236,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000275,000.000.279,接收,403,DATA,STANDARD,8,00009B000A030000
00000276,000.000.237,接收,404,DATA,STANDARD,8,0703050303030603
00000277,000.000.279,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000278,000.000.237,接收,406,DATA,STANDARD,8,D802000000001400
00000279,000.000.298,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000280,000.000.235,接收,408,DATA,STANDARD,8,0502000000009B01
00000281,000.890.074,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000282,000.000.000,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000283,000.000.000,接收,501,DATA,STANDARD,8,0000000000000000
00000284,000.000.000,接收,231,DATA,STANDARD,6,0201031F0E00
00000285,000.000.000,接收,232,DATA,STANDARD,6,020103230C00
00000286,000.000.000,接收,31F,DATA,STANDARD,8,000005020402FF80
00000287,000.000.236,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000288,000.004.781,接收,201,DATA,STANDARD,8,000000000A030000
00000289,000.036.529,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000290,000.000.268,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000291,000.000.250,接收,403,DATA,STANDARD,8,00009B000A030000
00000292,000.000.265,接收,404,DATA,STANDARD,8,0703050303030603
00000293,000.000.234,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000294,000.000.281,接收,406,DATA,STANDARD,8,D802000000001400
00000295,000.000.252,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000296,000.000.265,接收,408,DATA,STANDARD,8,0502000000009B01
00000297,000.000.255,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000298,000.000.272,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000299,000.000.269,接收,501,DATA,STANDARD,8,0000000000000000
00000300,000.002.135,接收,231,DATA,STANDARD,6,0201032B0E00
00000301,000.001.923,接收,232,DATA,STANDARD,6,020103230C00
00000302,000.001.661,接收,31F,DATA,STANDARD,8,000005020502FF80
00000303,000.000.235,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000304,000.003.726,接收,201,DATA,STANDARD,8,000000000A030000
00000305,000.037.854,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000306,000.000.278,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000307,000.000.235,接收,403,DATA,STANDARD,8,00009B000A030000
00000308,000.000.280,接收,404,DATA,STANDARD,8,0703050303030603
00000309,000.000.254,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000310,000.000.263,接收,406,DATA,STANDARD,8,D802000000001400
00000311,000.000.248,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000312,000.000.267,接收,408,DATA,STANDARD,8,0502000000009B01
00000313,000.000.253,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000314,000.000.263,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000315,000.000.281,接收,501,DATA,STANDARD,8,0000000000000000
00000316,000.002.130,接收,231,DATA,STANDARD,6,0201031F0E00
00000317,000.001.919,接收,232,DATA,STANDARD,6,020103230C00
00000318,000.001.647,接收,31F,DATA,STANDARD,8,000005020402FF80
00000319,000.000.274,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000320,000.002.374,接收,201,DATA,STANDARD,8,000000000A030000
00000321,000.039.046,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000322,000.000.249,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000323,000.000.267,接收,403,DATA,STANDARD,8,00009B000A030000
00000324,000.000.253,接收,404,DATA,STANDARD,8,0703050303030603
00000325,000.000.263,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000326,000.039.292,接收,406,DATA,STANDARD,8,D802000000001400
00000327,000.000.000,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000328,000.000.000,接收,408,DATA,STANDARD,8,0502000000009B01
00000329,000.000.000,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000330,000.000.000,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000331,000.000.000,接收,501,DATA,STANDARD,8,0000000000000000
00000332,000.002.141,接收,231,DATA,STANDARD,6,0201031F0E00
00000333,000.001.923,接收,232,DATA,STANDARD,6,020103230C00
00000334,000.001.640,接收,31F,DATA,STANDARD,8,000005020402FF80
00000335,000.000.247,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000336,000.004.956,接收,201,DATA,STANDARD,8,000000000A030000
00000337,000.036.515,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000338,000.000.234,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000339,000.000.265,接收,403,DATA,STANDARD,8,00009B000A030000
00000340,000.000.251,接收,404,DATA,STANDARD,8,0703050303030603
00000341,000.000.258,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000342,000.089.293,接收,406,DATA,STANDARD,8,D802000000001400
00000343,000.000.000,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000344,000.000.000,接收,408,DATA,STANDARD,8,0502000000009B01
00000345,000.000.000,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000346,000.000.000,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000347,000.000.000,接收,501,DATA,STANDARD,8,0000000000000000
00000348,000.002.155,接收,231,DATA,STANDARD,6,0201031F0E00
00000349,000.001.922,接收,232,DATA,STANDARD,6,020103230C00
00000350,000.001.640,接收,31F,DATA,STANDARD,8,000005020402FF80
00000351,000.000.235,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000352,000.003.765,接收,201,DATA,STANDARD,8,000000000A030000
00000353,000.037.686,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000354,000.000.282,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000355,000.000.222,接收,403,DATA,STANDARD,8,00009B000A030000
00000356,000.000.280,接收,404,DATA,STANDARD,8,0703050303030603
00000357,000.000.235,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000358,000.000.280,接收,406,DATA,STANDARD,8,D802000000001400
00000359,000.000.251,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000360,000.000.266,接收,408,DATA,STANDARD,8,0502000000009B01
00000361,000.000.258,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000362,000.000.257,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000363,000.000.280,接收,501,DATA,STANDARD,8,0000000000000000
00000364,000.002.157,接收,231,DATA,STANDARD,6,0201031F0E00
00000365,000.001.892,接收,232,DATA,STANDARD,6,020103230C00
00000366,000.001.650,接收,31F,DATA,STANDARD,8,000005020402FF80
00000367,000.000.256,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000368,000.002.576,接收,201,DATA,STANDARD,8,000000000A030000
00000369,000.038.861,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000370,000.000.252,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000371,000.000.263,接收,403,DATA,STANDARD,8,00009B000A030000
00000372,000.000.253,接收,404,DATA,STANDARD,8,0703050303030603
00000373,000.000.264,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000374,000.000.252,接收,406,DATA,STANDARD,8,D802000000001400
00000375,000.000.262,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000376,000.000.262,接收,408,DATA,STANDARD,8,0502000000009B01
00000377,000.000.256,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000378,000.000.280,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000379,000.000.253,接收,501,DATA,STANDARD,8,0000000000000000
00000380,000.002.138,接收,231,DATA,STANDARD,6,0201031F0E00
00000381,000.001.936,接收,232,DATA,STANDARD,6,020103230C00
00000382,000.001.638,接收,31F,DATA,STANDARD,8,000005020402FF80
00000383,000.000.239,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000384,000.005.138,接收,201,DATA,STANDARD,8,000000000A030000
00000385,000.036.329,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000386,000.000.234,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000387,000.000.261,接收,403,DATA,STANDARD,8,00009B000A030000
00000388,000.000.255,接收,404,DATA,STANDARD,8,0703050303030603
00000389,000.000.260,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000390,000.000.256,接收,406,DATA,STANDARD,8,D802000000001400
00000391,000.000.301,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000392,000.000.228,接收,408,DATA,STANDARD,8,0502000000009B01
00000393,000.240.090,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000394,000.000.000,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000395,000.000.000,接收,501,DATA,STANDARD,8,0000000000000000
00000396,000.000.000,接收,231,DATA,STANDARD,6,0201031F0E00
00000397,000.000.000,接收,232,DATA,STANDARD,6,020103230C00
00000398,000.000.000,接收,31F,DATA,STANDARD,8,000005020402FF80
00000399,000.000.235,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000400,000.003.984,接收,201,DATA,STANDARD,8,000000000B030000
00000401,000.037.502,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000402,000.000.258,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000403,000.000.256,接收,403,DATA,STANDARD,8,00009C000B030000
00000404,000.000.260,接收,404,DATA,STANDARD,8,0703050303030603
00000405,000.000.258,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000406,000.000.258,接收,406,DATA,STANDARD,8,D902000000001400
00000407,000.000.256,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000408,000.000.280,接收,408,DATA,STANDARD,8,0502000000009B01
00000409,000.000.248,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000410,000.000.269,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000411,000.000.259,接收,501,DATA,STANDARD,8,0000000000000000
00000412,000.002.159,接收,231,DATA,STANDARD,6,0201032B0E00
00000413,000.001.918,接收,232,DATA,STANDARD,6,020103230C00
00000414,000.001.636,接收,31F,DATA,STANDARD,8,000005020402FF80
00000415,000.000.239,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000416,000.002.790,接收,201,DATA,STANDARD,8,000000000B030000
00000417,000.038.623,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000418,000.000.254,接收,402,DATA,STANDARD,8,02320354FFFF0920
